ID,G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss
1772996441.151306,uniform,0.1,100,5,0.004,50,0.37484589160992826,0.11760910106887236,0.19487267320810187,0.1297591637382545,0.18719755576280595,0.11927676667358315
1772996441.151306,uniform,0.1,100,5,0.006,50,0.35090064500438245,0.11551216703500172,0.16909412030328996,0.13006304995487475,0.16325230915726002,0.11696263587064892
1772996441.151306,uniform,0.1,100,5,0.008,50,0.32192624396978203,0.09511367237255272,0.13595754663363127,0.10450337463607497,0.13427790812265972,0.09646531395944007
1772996441.151306,uniform,0.1,100,5,0.01,50,0.3010379793898143,0.07434881795571735,0.11256410485375751,0.07967902474780642,0.11338964354269189,0.07567668393263115
1772996441.151306,uniform,0.1,100,5,0.02,50,0.2589432136153813,0.03400882390136761,0.06770453750732033,0.035169692053569596,0.07129487776825892,0.035173343671180655
1772996441.151306,uniform,0.1,100,5,0.04,50,0.23466699024234475,0.01684495121480411,0.04252769188261506,0.01660318132166013,0.047018654395222376,0.017434499841583125
1772996441.151306,uniform,0.1,100,5,0.06,50,0.2229410266483088,0.011528696216130596,0.03046083827169313,0.010341369607139349,0.03529269080118644,0.01150460028827674
1772996441.151306,uniform,0.1,100,5,0.08,50,0.21503287558771217,0.008938114716439766,0.022302288376656564,0.007068734826172461,0.027384539740589818,0.008287525608946847
1772996441.151306,uniform,0.1,100,5,0.1,50,0.20932565251684968,0.007528995342507339,0.016400302331065646,0.00512430063397878,0.021677316669727248,0.0062870333129357615
1772996441.151306,uniform,0.1,100,6,0.002,50,0.5300510944374173,0.12594863666182626,0.3650005582674361,0.13881382821392482,0.342402758590295,0.1281767356042434
1772996441.151306,uniform,0.1,100,6,0.004,50,0.5601591050589478,0.13112648947674901,0.39972994664034806,0.14635506034440382,0.3725107692118255,0.13363348633441322
1772996441.151306,uniform,0.1,100,6,0.006,50,0.5666475974833285,0.1417240535449201,0.4072246087884643,0.15855949628710206,0.3789992616362061,0.14404124321385836
1772996441.151306,uniform,0.1,100,6,0.008,50,0.5336078858576132,0.1464071568075769,0.3667482867925786,0.16434078858308424,0.3459595500104908,0.148444188013506
1772996441.151306,uniform,0.1,100,6,0.01,50,0.4867556530194681,0.1369532053424131,0.31284697097696823,0.15453912755517496,0.2991073171723457,0.13880355369608258
1772996441.151306,uniform,0.1,100,6,0.02,50,0.35406184789632283,0.062147196609360064,0.1663778145235156,0.06480970535530954,0.1664135120492005,0.06360376554774674
1772996441.151306,uniform,0.1,100,6,0.04,50,0.2823871745051242,0.025350189560906136,0.092180781014074,0.02622333618666635,0.09473883865800183,0.026263733305788926
1772996441.151306,uniform,0.1,100,6,0.06,50,0.2540099131575822,0.015453915089050857,0.06283970361094837,0.015332059526162161,0.06636157731045982,0.015702974687135076
1772996441.151306,uniform,0.1,100,6,0.08,50,0.23695802209717554,0.011373213934577414,0.04517799686762337,0.010391296727517995,0.049309686250053116,0.01098454190319677
1772996441.151306,uniform,0.1,100,6,0.1,50,0.22544985524283606,0.009335340398352888,0.033284300740821386,0.007699114569449842,0.037801519395713655,0.008382169584204466
1772996441.151306,uniform,0.1,100,7,0.002,50,0.739220926608488,0.1356686047607673,0.5935684060059093,0.15346843495902318,0.5515725907613658,0.1373031240604602
1772996441.151306,uniform,0.1,100,7,0.004,50,0.7660743245340376,0.14978204010408167,0.6211514402595981,0.1705993250234742,0.5784259886869152,0.15172579666295016
1772996441.151306,uniform,0.1,100,7,0.006,50,0.797270606416602,0.15097599421255195,0.6581558511057591,0.16907057921134502,0.6096222705694797,0.1527761376211543
1772996441.151306,uniform,0.1,100,7,0.008,50,0.8068290046699861,0.16216731140190488,0.6714336205587615,0.18104548192696704,0.6191806688228636,0.16369583292976161
1772996441.151306,uniform,0.1,100,7,0.01,50,0.7704020762045505,0.1633104137231665,0.626409259039107,0.18215541431799384,0.5827537403574279,0.16473551279914408
1772996441.151306,uniform,0.1,100,7,0.02,50,0.5170105490390501,0.08791871320150546,0.33753346041465543,0.0930762833348248,0.32936221319192766,0.08907027565669196
1772996441.151306,uniform,0.1,100,7,0.04,50,0.3566644347445749,0.035754527448637816,0.1694654707911088,0.037147092312159936,0.16901609889745245,0.03630988934479946
1772996441.151306,uniform,0.1,100,7,0.06,50,0.30058731255517807,0.022272132874341974,0.11123475650439352,0.02236402031953584,0.1129389767080557,0.02232949748295188
