G,sigma2,mc,Loss Type,Loss
uniform,0.10300000000000001,0,Oracle Bayes,
uniform,0.10300000000000001,1,Oracle Bayes,
uniform,0.10300000000000001,2,Oracle Bayes,
uniform,0.15200000000000002,0,Oracle Bayes,
uniform,0.15200000000000002,1,Oracle Bayes,
uniform,0.15200000000000002,2,Oracle Bayes,
uniform,0.201,0,Oracle Bayes,
uniform,0.201,1,Oracle Bayes,
uniform,0.201,2,Oracle Bayes,
uniform,0.25,0,Oracle Bayes,
uniform,0.25,1,Oracle Bayes,
uniform,0.25,2,Oracle Bayes,
1-modal,0.005,0,Oracle Bayes,
1-modal,0.005,1,Oracle Bayes,
1-modal,0.005,2,Oracle Bayes,
1-modal,0.054,0,Oracle Bayes,
1-modal,0.054,1,Oracle Bayes,
1-modal,0.054,2,Oracle Bayes,
1-modal,0.10300000000000001,0,Oracle Bayes,
1-modal,0.10300000000000001,1,Oracle Bayes,
1-modal,0.10300000000000001,2,Oracle Bayes,
1-modal,0.15200000000000002,0,Oracle Bayes,
1-modal,0.15200000000000002,1,Oracle Bayes,
1-modal,0.15200000000000002,2,Oracle Bayes,
1-modal,0.201,0,Oracle Bayes,
1-modal,0.201,1,Oracle Bayes,
1-modal,0.201,2,Oracle Bayes,
1-modal,0.25,0,Oracle Bayes,
1-modal,0.25,1,Oracle Bayes,
1-modal,0.25,2,Oracle Bayes,
4-modal,0.005,0,Oracle Bayes,
4-modal,0.005,1,Oracle Bayes,
4-modal,0.005,2,Oracle Bayes,
4-modal,0.054,0,Oracle Bayes,
4-modal,0.054,1,Oracle Bayes,
4-modal,0.054,2,Oracle Bayes,
4-modal,0.10300000000000001,0,Oracle Bayes,
4-modal,0.10300000000000001,1,Oracle Bayes,
4-modal,0.10300000000000001,2,Oracle Bayes,
4-modal,0.15200000000000002,0,Oracle Bayes,
4-modal,0.15200000000000002,1,Oracle Bayes,
4-modal,0.15200000000000002,2,Oracle Bayes,
4-modal,0.201,0,Oracle Bayes,
4-modal,0.201,1,Oracle Bayes,
4-modal,0.201,2,Oracle Bayes,
4-modal,0.25,0,Oracle Bayes,
4-modal,0.25,1,Oracle Bayes,
4-modal,0.25,2,Oracle Bayes,
equator,0.005,0,Oracle Bayes,
equator,0.005,1,Oracle Bayes,
equator,0.005,2,Oracle Bayes,
equator,0.054,0,Oracle Bayes,
equator,0.054,1,Oracle Bayes,
equator,0.054,2,Oracle Bayes,
equator,0.10300000000000001,0,Oracle Bayes,
equator,0.10300000000000001,1,Oracle Bayes,
equator,0.10300000000000001,2,Oracle Bayes,
equator,0.15200000000000002,0,Oracle Bayes,
equator,0.15200000000000002,1,Oracle Bayes,
equator,0.15200000000000002,2,Oracle Bayes,
equator,0.201,0,Oracle Bayes,
equator,0.201,1,Oracle Bayes,
equator,0.201,2,Oracle Bayes,
equator,0.25,0,Oracle Bayes,
equator,0.25,1,Oracle Bayes,
equator,0.25,2,Oracle Bayes,
