G,sigma2,num_samples,M,rho,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss,mean_oracle_loss,std_oracle_loss,NMC
1-modal,0.1,100,6,0.01,0.0952681582896702,0.0390904617287024,0.0650482103417319,0.0390906554176184,0.0602898397457315,0.0389530684927975,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,6,0.001,0.0948273366523435,0.042650324977508,0.0654830467450676,0.0439800658084748,0.0598490181084048,0.042538204915789,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,6,0.0001,0.0939684004693539,0.0415921236886069,0.0635579553418685,0.0413812309023135,0.0589900819254153,0.041439508033004,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,6,1e-05,0.0974016349562137,0.045326340005373,0.0676902505799932,0.0461097508761636,0.062423316412275,0.0452853067812851,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,6,1e-06,0.096488776772793,0.0416355764744264,0.0666308412774494,0.0417837928466911,0.0615104582288543,0.0414941432288934,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,6,1e-07,0.0926491816189038,0.0386747355892102,0.0624983121606937,0.0395255784085441,0.0576708630749651,0.038707424598008,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,6,1e-08,0.0942020444101512,0.0399145265767535,0.0634019431904236,0.0395918907003649,0.0592237258662125,0.0398007066191263,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,7,0.5,0.0485919841410741,0.0066499417363819,0.0105164782989596,0.0056867499637263,0.0136136655971355,0.006616924260442,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,7,0.25,0.0486089850788272,0.0091779811524214,0.0128022680770903,0.0085428781047698,0.0136306665348885,0.0093399164542491,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,7,0.1,0.0552233339704868,0.0160678407829895,0.0218445623885611,0.0160970398202773,0.0202450154265481,0.0164684467760207,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,7,0.05,0.0680077672522189,0.0326338992238981,0.0360387416631505,0.033447381694008,0.0330294487082803,0.0330620929574528,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,7,0.025,0.0867036197130204,0.0464957879174351,0.0543000523862024,0.0453414206057038,0.0517253011690818,0.0470072388555414,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,7,0.01,0.0857702080462303,0.0463508543777198,0.0562297114281332,0.0471408353819268,0.0507918895022917,0.0468254359977128,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,7,0.001,0.0813434701229456,0.0390396041821188,0.0509707073474756,0.0398831248690699,0.0463651515790069,0.0395362001395981,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,7,0.0001,0.0837971759079327,0.0388775404389146,0.0530404560212608,0.0394463961172902,0.048818857363994,0.039338078482679,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,7,1e-05,0.0851145474846578,0.0430473491219097,0.0543757959628773,0.0435478324250435,0.0501362289407191,0.0434702582793813,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,7,1e-06,0.0856362103451022,0.0443700503053214,0.0552635755409404,0.0450234632130512,0.0506578918011636,0.0448251073832091,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,7,1e-07,0.0822656637237919,0.04055430394243,0.0524508189158578,0.0415378668891591,0.0472873451798532,0.041036220103681,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,7,1e-08,0.0824472004052157,0.0391538003189089,0.0521091130216592,0.0391859494710932,0.0474688818612771,0.0396248802002806,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,8,0.5,0.0501903187765381,0.00646682602266,0.0120379418794912,0.0055468352604492,0.0152120002325994,0.0065773067334864,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,8,0.25,0.0499819520190909,0.0083542672718795,0.0140934759587747,0.0079662327752826,0.0150036334751523,0.0086824290845796,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,8,0.1,0.0577396188911068,0.0184444946627218,0.0244147624341287,0.0190847059981884,0.0227613003471681,0.01890029546483,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,8,0.05,0.0741615245424114,0.0417783753695877,0.0420032373268187,0.0423530657817043,0.0391832059984727,0.0421197624220118,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,8,0.025,0.0823382505988891,0.0420023418939682,0.050561202521398,0.0441075895077946,0.0473599320549504,0.0424745705831944,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,8,0.01,0.0841124768972073,0.045140137639701,0.0518977293279991,0.0431718140069292,0.0491341583532686,0.0455139340820459,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,8,0.001,0.078435433288096,0.031728013495302,0.049029837370666,0.0326559719213114,0.0434571147441574,0.0320837699248484,0.0349783185439386,0.0013724219691681,10.0
