G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss
1-modal,0.1,500,1,0.2,25,0.08673953786083588,0.0031802638658800218,0.025940444467624845,0.0008690198052367131,0.03764595573493396,0.002315308955026418
1-modal,0.1,500,2,0.015,25,0.07335291551139947,0.004050365194867574,0.019482450838798484,0.005591153314411482,0.024259333385497545,0.004705645396016637
1-modal,0.1,500,2,0.025,25,0.06772712281254362,0.002310293662669911,0.0130632367458392,0.0017925256820259673,0.018633540686641706,0.001953487311337687
1-modal,0.1,500,2,0.045,25,0.0656117149546461,0.0024438211381707484,0.010330472687991907,0.00046865364382572567,0.016518132828744186,0.0013552101031982973
1-modal,0.1,500,2,0.065,25,0.06527862818328227,0.0024156479922181136,0.00968876992828477,0.00031013404356939787,0.016185046057380355,0.001250497001262639
1-modal,0.1,500,2,0.085,25,0.06531178041898995,0.002380335280854496,0.00951267513426068,0.000332502665894243,0.016218198293088057,0.001205574804222908
1-modal,0.1,500,2,0.1,25,0.06542230601749453,0.00235614775834982,0.009486928931854247,0.000348112969889073,0.016328723891592616,0.0011906577932565847
1-modal,0.1,500,2,0.125,25,0.06568011343762176,0.002315907714589421,0.009550341140041595,0.000361437487772617,0.016586531311719856,0.0011728275389580667
1-modal,0.1,500,2,0.15,25,0.06600265249188618,0.0022915404627270003,0.009687247965269522,0.0003743317522732135,0.01690907036598426,0.0011682284185249245
1-modal,0.1,500,2,0.175,25,0.06635957031742662,0.002294978350652042,0.009870318333103948,0.0003883513131456112,0.0172659881915247,0.0011889578798238117
1-modal,0.1,500,2,0.2,25,0.06675796936566955,0.0023052806433562813,0.010091786813335179,0.0004010538037894777,0.017664387239767633,0.0012117514311259657
1-modal,0.1,500,3,0.015,25,0.09375512466477104,0.02271986137665011,0.04829529880971631,0.023622274013516867,0.04466154253886912,0.022369522037737843
1-modal,0.1,500,3,0.025,25,0.0696970610231013,0.009152263028642206,0.022321855282845613,0.00986353352511619,0.02060347889719938,0.008683513035352523
1-modal,0.1,500,3,0.045,25,0.05901133216828677,0.003136402218041922,0.00979125174333236,0.0030651156086342573,0.009917750042384862,0.0025534160024367
1-modal,0.1,500,3,0.065,25,0.05626300958471914,0.002097058944112097,0.005930166266753072,0.0013869252625337198,0.007169427458817225,0.0013875602986743558
1-modal,0.1,500,3,0.085,25,0.055432082328007615,0.0019164374985935536,0.004397321683747968,0.0008281434369167322,0.006338500202105714,0.0011154806099660404
1-modal,0.1,500,3,0.1,25,0.055237800781964504,0.001911213994012744,0.0037739890174808975,0.000569657247802118,0.0061442186560625965,0.001060347613659549
1-modal,0.1,500,3,0.125,25,0.05529609678076722,0.001943467517831016,0.00323651144572491,0.0003872386027114327,0.0062025146548653,0.0010723945612371383
1-modal,0.1,500,3,0.15,25,0.055641341400394666,0.001945362891920698,0.003067026790873178,0.00034190760587148126,0.006547759274492746,0.0010763148322923473
1-modal,0.1,500,3,0.175,25,0.05614000389420999,0.001944555507201294,0.003119738947615184,0.00036001349273637965,0.007046421768308077,0.0010865340770796889
1-modal,0.1,500,3,0.2,25,0.056707392317903234,0.0019636518761032714,0.0032950099815385226,0.0003978102671442623,0.00761381019200132,0.0011162711020693823
1-modal,0.1,500,4,0.015,25,0.0756824732575709,0.017888372851528767,0.0297437440198929,0.019623374195331035,0.026588891131668985,0.017877117698332824
1-modal,0.1,500,4,0.025,25,0.06423059421239245,0.008858686249660037,0.017138978511358066,0.010155557034299075,0.015137012086490547,0.008915201866953609
1-modal,0.1,500,4,0.045,25,0.058089077437725865,0.004737989746352905,0.009666107113776815,0.005354461435513545,0.008995495311823962,0.004646599525809245
1-modal,0.1,500,4,0.065,25,0.056111678379722106,0.003215856994719918,0.00681397938738591,0.0033613325533976258,0.007018096253820189,0.0029534159703495833
1-modal,0.1,500,4,0.085,25,0.055364555012907476,0.0024986353546518542,0.005380028033318179,0.0023455087884818935,0.0062709728870055685,0.0021545312800442824
1-modal,0.1,500,4,0.1,25,0.055228819674704166,0.0021928621870579523,0.004812905647379986,0.0018946284512866593,0.006135237548802249,0.0018042374008651716
1-modal,0.1,500,4,0.125,25,0.05534906160868987,0.001937226514051494,0.004317427537805936,0.0014144178081504399,0.006255479482787958,0.0014808413202615145
1-modal,0.1,500,4,0.15,25,0.055689504057984916,0.0018479787505507215,0.004107847078731563,0.001105882591354339,0.006595921932083007,0.0013215615346777554
1-modal,0.1,500,4,0.175,25,0.056160580522301294,0.0018393845178104593,0.004079781798965685,0.0009264659402270145,0.007066998396399379,0.0012454324824013908
1-modal,0.1,500,4,0.2,25,0.05671376317481391,0.0018930954062345662,0.004153876914872002,0.0008275864023465756,0.007620181048912005,0.001246983704595201
1-modal,0.1,500,5,0.015,25,0.055963556781553694,0.005266760312533617,0.007488105731776624,0.006182830152715407,0.0068699746556517725,0.005198810193810298
1-modal,0.1,500,5,0.025,25,0.054835816833025464,0.0037799728970497274,0.006146315973139035,0.0044597418124034125,0.005742234707123548,0.003560895829599411
